label,R_mean,G_mean,B_mean,R_std,G_std,B_std,Aspect_Ratio,Area,Perimeter,Homogeneity,Contrast
plug,0.3986142507752785,0.3847928836078118,0.4145234960138005,0.6294412803330174,0.6514935150765901,0.6373670709848098,0.056547619047619,0.3400756620428751,0.244954837815661,0.6012366592706565,0.2257234328808998
screw,0.0001188624104152,1.4572371363329869e-06,1.5350740049787856e-06,0.0045234912326134,0.0036133701931489,0.0034619764564898,0.3999999999999999,0.0,0.0214770263221734,0.9931454405062158,0.0018770467046796
screw,0.4231945085907594,0.4434371306616591,0.5293698908929647,0.5887932021633923,0.6567941690768015,0.7071490138587564,0.039047619047619,0.3760907944514502,0.3670242535836079,0.4150387600249937,0.1444072450371129
plug,0.2504056566771565,0.253109571228201,0.358291612699657,0.3770504034999517,0.4060432151865984,0.450326091725965,0.0319612590799031,0.300983606557377,0.547153814375157,0.5478358978099681,0.2176350573397643
screw,0.1028721617236737,0.0893661690957326,0.090816432317304,0.3280264959021743,0.3027739521567628,0.2750854004847898,0.0352159468438538,0.0817150063051702,0.1860844002468084,0.8346617057897355,0.1290307795096145
nail,0.0652619538874583,0.0538711191542865,0.0575648556679906,0.1771821272043965,0.1502230864938895,0.138696585365197,0.0299319727891156,0.0404539722572509,0.1799548400711704,0.7555962692086912,0.0653781312636713
screw,0.0611758703710829,0.0521979913211708,0.0546582515230007,0.1802207453691856,0.1615029833108351,0.1516661932453914,0.0656084656084656,0.0522068095838587,0.1661279807331005,0.844895656152124,0.0277421586842514
screw,0.0475106848236384,0.0409598265413371,0.0426770857560027,0.1186255406820805,0.1081145095576915,0.1021737850461155,0.1043478260869565,0.0182597730138713,0.1297057771448884,0.8589849921666367,0.0485139985905309
screw,0.0104324345610711,0.0092965268379912,0.0097930915496007,0.0814876179193311,0.0780114105700788,0.0747428722479779,0.1142857142857142,0.0090794451450189,0.0721145723309284,0.9707953400574486,0.0230636000036609
screw,0.0182417400343868,0.0251319780396937,0.0317927204168691,0.0722917922479513,0.1048338029098131,0.1169392966343017,0.1974025974025973,0.0131651954602774,0.1189672640792326,0.905177907421053,0.0672529813931778
